factor,level,effect_auc,mean_auc,n
input_domain,fourier,-0.036271419171165276,0.6376976852970931,240
input_domain,image,0.03627141917116539,0.7102405236394238,240
pooling,average,0.004024333812299163,0.6779934382805576,160
pooling,max,-0.0030052165865406266,0.6709638878817178,160
pooling,median,-0.0010191172257585368,0.6729499872424999,160
normalization,batchnorm,0.011003203923043214,0.6849723083913016,240
normalization,rms,-0.011003203923043103,0.6629659005452153,240
convolution,standard,0.003115711644687935,0.6770848161129464,240
convolution,widely_linear,-0.003115711644687935,0.6708533928235705,240
activation,cardioid,-0.0025338185659674606,0.671435285902291,120
activation,crelu,-0.0009047193797616648,0.6730643850884968,120
activation,magnitude_silu,-0.00275399735002102,0.6712151071182374,120
activation,modrelu,0.006192535295750257,0.6801616397640087,120
stream_interaction,complex_only / holographic,-0.021743522211479016,0.6522255822567794,96
stream_interaction,complex_only / none,-0.0023240052507182973,0.6716450992175401,96
stream_interaction,dual / holographic,0.0029602156241327338,0.6769293200923912,96
stream_interaction,dual / modulus_gate,0.016304602659826917,0.6902737071280853,96
stream_interaction,dual / none,0.004802709178237885,0.6787718136464963,96
